s0,s1,s2,s3,s4,d0,d1,d2,d3,d4,cluster
0.2269586184722695,0.6510610681881469,0.24393985635007898,0.27713775813285757,0.24470870160270872,0.16586550678651546,0.40768763879212777,0.4744359605311411,0.7880298987990233,0.11938686834681911,0
0.238277048621855,0.7546029760891444,0.13129692494792333,0.20080722041213478,0.22060358646551032,0.9469004240139446,0.5565863514373149,0.3865745098760027,0.6318014328358621,0.6093182308034868,0
0.2182444242153655,0.7329355545575218,0.22951903904190046,0.28687514770634515,0.20696197286790682,0.5967169890230987,0.8495320632238409,0.45063594010882935,0.267379430619025,0.5224157946294782,0
0.19789408205435352,0.8322045647330236,0.17517645050686548,0.1879979722977255,0.23410550125905266,0.2722273633291832,0.24052022651385818,0.08410815136674388,0.4449393740213461,0.09044350913727295,0
0.20450098025526153,0.6872307310119783,0.2617903467917176,0.22935646856477526,0.1679642818763341,0.9877575775297194,0.10559209685409288,0.4314686534135045,0.8157454509686981,0.4847809887339136,0
0.2147955700716431,0.7413635824458104,0.24160154439164902,0.24746499020885102,0.2922428383574799,0.9197896862105291,0.4068443656663464,0.6368768140260778,0.05330953526513571,0.8374645464938252,0
0.23248572544661228,0.6736078719951801,0.3351671900769747,0.27689342168215403,0.30537104175646906,0.44044888185910336,0.3342674117175146,0.2890411644370835,0.44834415019912166,0.5439076223846362,0
0.23828139050392097,0.8003261782014215,0.2837632804061907,0.27657089379232536,0.2499427676140887,0.2410237990168409,0.31009067764015563,0.20623473436326245,0.1806349294854831,0.4652393120120053,0
0.24992362725283615,0.8794819269255125,0.205050863711241,0.27139424406618273,0.24664898211983788,0.5601180133784792,0.9428619894042636,0.8071420491118552,0.9004775939708368,0.8082155700742845,0
0.19924738015440152,0.8111108438531704,0.1927117630811862,0.17004562228678724,0.22864787215697496,0.24828532257966107,0.4920394980019138,0.7822741924399039,0.9627405877047024,0.4637413805367173,0
0.2540959039071925,0.845607975508937,0.25070215038196125,0.26271922275125764,0.210796524776458,0.9371306371103058,0.6587913205818066,0.5455774055515442,0.3965608712821955,0.7058548303858848,0
0.3117445370957139,0.7308482534510519,0.23880568887380865,0.23904323444221945,0.27550978603078013,0.7400521359883838,0.7537132908903921,0.3412897845522659,0.49329503788573303,0.8255478419570159,0
0.22764368434954568,0.6958268489560349,0.27538724978532547,0.2574816411629822,0.16155348881917084,0.09018786515746935,0.6754500146696112,0.7468850605093895,0.517502421656989,0.9664014931852973,0
0.38334121218966677,0.8115677761573047,0.21932245537508682,0.2839116812086121,0.27705355246721225,0.8204372939018191,0.3501763253323058,0.8337159634869138,0.2886934304371769,0.023425242122347978,0
0.2154749072625526,0.7387452246533136,0.20438148859815067,0.1466286589739782,0.24802932491103327,0.9421109179702972,0.006080666441543814,0.4675887916415641,0.40537151673588356,0.8972344282817944,0
0.21384846847667963,0.7880505752837936,0.25282315990750054,0.23877064651928598,0.28424770099936253,0.8876887025780635,0.175263825481891,0.2948004293997396,0.8091450881572404,0.47678468521488704,0
0.24823479151208594,0.8213466169167426,0.24748470520594845,0.2272365670658465,0.3004645589019949,0.009207667592384672,0.0951664511067285,0.954207586913258,0.9490070106655454,0.5230738486018071,0
0.23755763341508895,0.7699968381196668,0.22037476096210679,0.266976033467254,0.20739069503795204,0.23567661784355143,0.3717606965914809,0.654568524286119,0.4872430496175504,0.08201592303680438,0
0.2519873602157957,0.7232025937168501,0.21657055351296828,0.3140422892354643,0.2613932066879045,0.7022782591168897,0.24680903643985097,0.6340086700650945,0.04495093010304119,0.4824674691470292,0
