s0,s1,s2,s3,d0,d1,d2,d3,cluster
0.11989572973238968,0.3331049897371242,0.32948218825300746,0.7218175812267484,0.7844443703081596,0.8739902819073601,0.8337512808179883,0.07380360013949616,0
0.30286015238592007,0.2588627552952582,0.23151784099475636,0.6275778148290055,0.07270737108617686,0.7752126732968283,0.7221543141373133,0.9677967319224258,0
0.3319991157884907,0.36915548228720413,0.27397376630663134,0.686319231268651,0.9057934648863925,0.8535452480497102,0.9604980347798461,0.692409007219357,0
0.1648755364044827,0.2763891690641101,0.22400969923119193,0.8453791314332376,0.4510260255774804,0.13418677659005518,0.14785683979508557,0.61917565093627,0
0.24429240160908733,0.2597925237489457,0.15535042716748654,0.8714382248107769,0.0354799663831169,0.19209542173548178,0.023843924462504718,0.5275826602680156,0
0.16079471855109517,0.21171344107309664,0.2037885153524683,0.7768829321203488,0.3571608284142823,0.9873248065163683,0.44476539875452126,0.5694207685173638,0
0.29513769194242506,0.16671130824292685,0.40348399763995324,0.7251190484295331,0.3022851562903588,0.6719010324594971,0.09796081874088991,0.5062877751037187,0
0.16995995801146407,0.15060767595249686,0.20537657723695385,0.7054680864941794,0.311127683285629,0.28384995014676095,0.27796291479850255,0.22919989795068707,0
0.20747119617607201,0.27087599706533017,0.29915937696869666,0.8015186435552878,0.5816539975112025,0.5589763380940289,0.6099021253326564,0.9457675755977654,0
0.21116088791160786,0.34655637028715114,0.17486311140721028,0.8972677440030146,0.7638451467393458,0.23632155793480936,0.8015387588979351,0.2500125139054368,0
0.2776336242601995,0.11311246665209876,0.3531712145526856,0.672790668140089,0.7916377759542714,0.8418983520910995,0.470311859245493,0.35890895126806477,0
0.28487973663477084,0.16555602593866786,0.23187099840370434,0.8421016789880457,0.18867549807909179,0.6080000443624681,0.6906415256942973,0.9650070871510009,0
0.22681828303332555,0.2189330323115243,0.32814535532552563,0.8301132785968964,0.6219263356348039,0.4122984893466096,0.5716235779275688,0.5134556109490178,0
0.14266776560815758,0.31540015852813313,0.2759884441351877,0.7610384630874583,0.9349414105822198,0.025474568728584335,0.17948484416836763,0.2036915703711184,0
0.35954771979214234,0.19703307877405668,0.3443853587807626,0.7470671566232885,0.9316124384592944,0.9339004189610842,0.4690158436605434,0.7097864405718328,0
0.27559379762848,0.21133729835309062,0.3736071299857593,0.6946176136675536,0.004766685256788361,0.6729102554206517,0.17932476363814798,0.5172225268481749,0
0.25387409654092286,0.18013675075602403,0.21718625847528003,0.7418804153668617,0.6184530715395421,0.5919678353692337,0.5571756130030058,0.9136706845773216,0
0.3414602012099082,0.21740613557739108,0.284793281605229,0.7692496114397228,0.8649413104175525,0.10238318554716308,0.15410145597931413,0.8605166392290868,0
0.3345831728893368,0.24407991787718253,0.1612518371421725,0.8043777355723403,0.7604249472213097,0.08535380816449356,0.3498526047736835,0.6000210847101836,0
0.3388335890020006,0.28249783427558806,0.35425055462589533,0.7768389578302294,0.7438433350027552,0.8267918246832027,0.685079620473113,0.9511802645180337,0
0.22804385368829735,0.22526210200294894,0.25074794549484286,0.8202014686412179,0.21791946532991857,0.7099110057837105,0.024572562069826165,0.30763576064386733,0
0.3392799922269574,0.11792072226955783,0.302535230603197,0.8518734371198389,0.8643035688240497,0.3027485702993179,0.7129648423270395,0.9216074879673033,0
0.2971551094326341,0.06975800800483131,0.16737646041627968,0.7765014920923373,0.31872763140769855,0.7395730535451932,0.730727992418715,0.40289342587393795,0
0.24145428560174653,0.3455702792303601,0.15122261065888506,0.8329338638696545,0.2758344239549819,0.4795456135027123,0.31135281342836774,0.09527963131566208,0
0.25835690016926927,0.1658092893924737,0.25742282146690015,0.7522288991908269,0.5291106840831851,0.4479848921188345,0.4611267770213031,0.30488321890167813,0
0.29575443149163494,0.19470052648949068,0.13680803792467,0.933096847683835,0.8074305932444953,0.8662021842443307,0.06936159018192956,0.5365026952175092,0
0.2338716157859081,0.2757544443971589,0.1386684063757829,0.7520150675363985,0.22917604625397192,0.3444377417436173,0.9279541195949362,0.04008847316523101,0
0.23829846325920684,0.32472361560979796,0.3940550824996969,0.6905290288040098,0.46287792803358485,0.1070466544111659,0.09164353824810056,0.7470663207337785,0
0.1586607606860213,0.26718876366656935,0.18739004228393652,0.7980507576489814,0.3119641335464435,0.9858625605307451,0.3872623815412356,0.06992952409545894,0
0.25259918240908436,0.37359122039422366,0.3036307093059094,0.8405770497765118,0.7671331187705671,0.44539455692454466,0.40454168797207724,0.7032370738029737,0
0.22285082769600828,0.19768140566524556,0.25401871394836,0.6718549836681147,0.9003259305512917,0.6802647690935293,0.5625470264257393,0.751805984351464,0
0.021893025525766496,0.2727141757776181,0.12869302848420985,0.6512317729447485,0.5024348183144207,0.7472987700720685,0.7199619854195597,0.6499001605355276,0
0.2776121272448662,0.3055617748151405,0.18794584090859898,0.6579429304696747,0.7316126176162902,0.27880011641084024,0.40350563213272417,0.6815910484005192,0
0.185609887707279,0.2773230644931153,0.16246257329053004,0.6727225228758182,0.06512603592608301,0.09226988304857342,0.5709347934462107,0.5199010034103794,0
0.2995987582286539,0.24538767506003248,0.35220642628539345,0.6268362765206096,0.7983957625214897,0.4697284685340367,0.7436464080902434,0.8822179839598914,0
0.23430310147010144,0.23511982964390948,0.30705461104743226,0.8204101409342793,0.6484248486851641,0.2394822013442981,0.8352651418133459,0.9141070216366975,0
0.13390302445080282,0.17148707843875993,0.23399228231183059,0.754617212218373,0.3399540429479172,0.0687772724881417,0.3619720050559454,0.6134277483803849,0
0.3444618794218719,0.3888714051593283,0.20238408806143118,0.7331484104329834,0.780005709361631,0.26152810636470813,0.14997745592829037,0.4684678311815754,0
