s0,s1,s2,s3,s4,s5,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23,cluster
0.295979846681184,0.24651375244834905,0.2285939353887902,0.8485172786179009,0.8886094442238024,0.723981576596184,0.31337251352017237,0.45218262897381467,0.13845665700001242,0.37393002891808935,0.62431039215449,0.7556099888040935,0.6753509668396767,0.7967785923221029,0.9534059527132708,0.8007708836940141,0.6340661354278783,0.13571807589800422,0.2481758370672842,0.29210375635696606,0.32256872897033717,0.5177888145753518,0.8335879896993913,0.14437064709386827,0.8278911207134921,0.5993483064137236,0.8925239447338505,0.9828233786278154,0.5410415305912327,0.14027587808006214,0
0.1736794551057234,0.3135324289176289,0.21186165615352331,0.8098432744869214,0.8132408948625147,0.5916685900331266,0.19622770583345406,0.25221333784464695,0.6926158311249186,0.18813135763281186,0.24505580901890556,0.6925023927096235,0.02855468090531965,0.1950417032963676,0.24267963904148826,0.732887846884707,0.7529426072960914,0.5861168895009232,0.6709964029512323,0.5176649255851715,0.4943926994124046,0.4971080928145465,0.7074480225978376,0.10803842113215134,0.29794076918486057,0.7510345205180815,0.2367643644969345,0.45352709803939883,0.23368789580765503,0.269347251951523,0
0.4154481174613578,0.29608414569414293,0.232293614604294,0.7632038615337259,0.7638324899775434,0.7599519339134649,0.5128292735806241,0.9997647045643898,0.4967150973414759,0.5043860212062514,0.8337370063912203,0.8199172989091953,0.09660147504258676,0.2504445040395308,0.5352850550344468,0.9847405041957659,0.7251816429210763,0.6250855509461303,0.49966573001282855,0.8526065259461564,0.2608332316927544,0.9886231995149403,0.4916020171396631,0.8401898433022282,0.9718342646904464,0.13026575852039268,0.7863279689214904,0.4370423322800391,0.955733739228515,0.6064494388722252,0
0.25010467506282763,0.23761293915132065,0.23208639294558792,0.8183482986891646,0.7205558110966749,0.7748307572685524,0.12929268603865895,0.08240881335522199,0.361253159712691,0.49405817132724905,0.32843293434004694,0.8283458401643443,0.28576667373737974,0.5369738437259695,0.16997087917853904,0.1248519599164144,0.40166817953805845,0.6246384848146431,0.40276632633658815,0.04874013835733115,0.7079765727495871,0.6048060251177795,0.37771538136557825,0.3296884138125722,0.6975873410951985,0.7458480451219944,0.4572673802111601,0.010292630708684691,0.08319662328889899,0.6945511322156219,0
0.2484187366506132,0.23552411282879823,0.26821242318180516,0.8394920119842582,0.7533919973677737,0.6438691835090464,0.17156401085245276,0.6960377398292584,0.23233253584587277,0.24578990459170502,0.015704129852230686,0.6667831996693234,0.1816347603904006,0.516978637015227,0.2735609386441875,0.9231459225102762,0.07418395980226822,0.5519814748624509,0.12876715570726416,0.8977501799729924,0.797365524637511,0.6761769103691394,0.8550287619852902,0.49044606485625275,0.923634938310761,0.2671475325165015,0.6912656943294093,0.05873896567116976,0.5178762090350884,0.6738235256646543,0
0.22619422553684396,0.15490405715988684,0.16438059117486176,0.8079983212554908,0.6214986736929287,0.7213184827835377,0.5665063239380185,0.6735740207640077,0.3824937094390949,0.9136551166775246,0.4766137439943663,0.5932037255608082,0.11399001617920934,0.8545672185740738,0.12795427422277605,0.48328481789566724,0.3950470771864941,0.6966544189431563,0.16001606434993143,0.8716777035996179,0.3827948490831946,0.5304018541937072,0.7333165088977226,0.2965987656081893,0.6134440879979591,0.6479421616673031,0.7737174322381518,0.1664883090477849,0.4005981708178369,0.5581777820522877,0
0.21805095830576646,0.22676745880052515,0.36949470750167185,0.6567625016522913,0.6042626040984287,0.8015106538193734,0.8113325944808644,0.6788234898577793,0.20550798127511627,0.6351482275697494,0.9737506247315358,0.6217540987610983,0.8454402136572988,0.8080405477064012,0.9144664334444095,0.10465648856934529,0.6902922900138257,0.7011830457132298,0.6431309775763197,0.4535049015429229,0.19829529738463836,0.8844530212878524,0.11709577470780674,0.3862989266880592,0.14276317376974834,0.6576231252195353,0.7318197347759591,0.4617268376866681,0.2861836704213141,0.1452774653010841,0
0.10345410265351218,0.36192519407767876,0.19069618349523526,0.7042641023648396,0.6761857580820522,0.6812058040954544,0.7092836710847693,0.13756638757660433,0.8707131931608436,0.22328898617886384,0.09601818104544957,0.11506498666218967,0.27451064946085035,0.4982021417079904,0.7823041729041434,0.10811198778381548,0.07537650569848753,0.5754023913884518,0.2036633674199123,0.36313972479113266,0.184637399479611,0.8516058562979986,0.985242573536506,0.5193411917779005,0.7897598079705159,0.7215359327201438,0.1591875939940015,0.3546101874094334,0.11855835699271156,0.427269855637999,0
0.26177822783860527,0.2153096887151554,0.24674344204783652,0.7377080196883375,0.7850657171938225,0.725981960846132,0.6076677147092222,0.8376159386250924,0.12884854758718967,0.18800333105924094,0.07187732813638015,0.22272329042524674,0.8277586358883131,0.4017224522152104,0.310181617052102,0.8582189435449206,0.9160700359951303,0.2576719662001634,0.8945306161586005,0.14024855656247992,0.18691086553658687,0.5126396993863376,0.9756341733500024,0.9906225799179353,0.7355489330830274,0.21799749303352178,0.8850670041946515,0.9143886024966837,0.16529291405263824,0.4620194230736291,0
0.16011320041270027,0.24779960034131396,0.3370664504665072,0.841360761480065,0.6517857318198561,0.7547707157279481,0.23620604906086184,0.06566956396380075,0.7053199745361635,0.013056181676747158,0.091716711433533,0.6914187032417765,0.0918736112175047,0.9596261304126136,0.7021157035602067,0.45785005337469287,0.7664475648745623,0.9404482716507759,0.3881514654000062,0.31085170434462606,0.37756920573996877,0.8455223787203416,0.45039019241403644,0.094965377845311,0.9834251343170743,0.7615862760304274,0.9184576552007638,0.7381117838253949,0.6415697006018971,0.7568231952312806,0
