s0,s1,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,cluster
0.8752525775650674,0.4946295281753978,0.2582570656050136,0.9745306351411084,0.47873524622406605,0.19695452961266036,0.8106195206137223,0.771519340781225,0.095018594980948,0.6238580726748122,0.9252051083204953,0.33451032211460674,0.2185339022504177,0.6739847733974457,0.47388840376750263,0.6069317212013137,0.962681157093606,0.39583168174996575,0.7444559328470881,0.597620870863199,0.6699977209536356,0.9937427979828966,0
0.734612734123026,0.6545798772911772,0.9220714531876859,0.14860915627735083,0.5421663564147049,0.4846642563847945,0.6966087574900687,0.5508181278701778,0.6355698599900005,0.4265743971131313,0.9797435152178565,0.9775741737910656,0.5645718380957714,0.6268885927793766,0.5193317710063804,0.49096433357948166,0.6346922075144605,0.9085165407487218,0.27618920812646075,0.3018583867142348,0.8136384516125574,0.13295137178384742,0
0.6289143375655355,0.8231795530141424,0.8028190463874533,0.6604271973839498,0.7065505060615388,0.024116319101794792,0.47102756666363355,0.30944561663267944,0.8387936873333184,0.07395886746484592,0.20801767992038145,0.9000936780909649,0.26967180916511935,0.46054728751137874,0.5307914982155805,0.3624413471359811,0.8314520442755934,0.656258640014983,0.9057946884584989,0.42232056771517146,0.044067308598099264,0.9035294552349018,0
0.7356065435278056,0.7658573728870995,0.6289033311946568,0.9809646877879828,0.05047686132843232,0.3284494766465449,0.17330715145289832,0.15029556763613738,0.8312577348547429,0.7445204391436457,0.1119371030582067,0.582766855913997,0.8638488380959396,0.23063243567318392,0.6992341104748738,0.7060487466195883,0.25866322659152297,0.5752239219523093,0.9890781208894439,0.6955986579606241,0.7605324728860707,0.3248995762075191,0
0.7619166650735004,0.6407336510618252,0.7823873384412775,0.6520679244068033,0.7310593218768155,0.5473625990204212,0.36602216367660956,0.6622558455717874,0.3482810262797814,0.9888585821713399,0.9273154168126665,0.48062058643312033,0.26324749008238935,0.6265707460408371,0.26979966910527675,0.021558864221471907,0.20643834105676628,0.6572189653399263,0.8042727799236027,0.7879496851832013,0.6631453409555776,0.4342912009500184,0
0.6519841867424045,1.0085525240370612,0.46573345497258867,0.22819111367211442,0.8408659482371995,0.9854995577320642,0.4167122988780875,0.03804064187520584,0.12323999552798837,0.5328916135678488,0.13285202849091038,0.22642595160775814,0.9098306697349967,0.6506126153195304,0.7424765771537201,0.782528279021552,0.6342985463547844,0.46328001959389176,0.652352663293848,0.3927703550134868,0.29628816926264434,0.18606145211385472,0
0.628314501148262,0.6844303215234036,0.1642976399457281,0.23946264252967864,0.19332401307505964,0.631844598091598,0.8716034560293454,0.7811191058360666,0.687491102892507,0.7082005287042479,0.8646595611478934,0.6586865366373525,0.9172203814386927,0.2525951529456514,0.4758719094274084,0.3635249640338093,0.7837425713145125,0.39529359604980996,0.28263130271270087,0.8297120603264694,0.9627001409292082,0.44238461837863086,0
0.7471468883021175,0.9034787424992791,0.8333757766736912,0.139698223940262,0.38559108199105574,0.8284728282850571,0.48977256595397844,0.3098049215831935,0.7771861191442402,0.7837427612448441,0.013788219462273377,0.8680783562221015,0.6515220966536219,0.42135793415568945,0.6225755377432108,0.796681431736973,0.7736959572850799,0.9460097137739789,0.8311913539536273,0.27171764336715454,0.9542430661461813,0.9267277183134284,0
0.7816487025054776,0.7387089622297363,0.12547404598006928,0.6268331331782873,0.5027950124040655,0.8048340950210351,0.16458986064853776,0.9809232088435491,0.05161198005778489,0.8100923019889988,0.202362030605437,0.0983672774779959,0.5652378568081101,0.7803139862838822,0.6360745301242923,0.6299733389345467,0.695501166414865,0.1329315522972454,0.24420756362391483,0.7907846919671756,0.40340002672228026,0.6045278449746894,0
0.7883999831627581,0.8213771614011245,0.9536538510468534,0.18905836144757082,0.38205370891175017,0.03202209387544186,0.31596238793639964,0.3160244536759289,0.979366389383852,0.8947262107072667,0.46503237454750357,0.9414091870701615,0.3305925603120745,0.8569160263449029,0.7928548810208992,0.9556544564118283,0.3306272059498332,0.11108427427288992,0.2528468378457007,0.9192675481251421,0.34494005016832907,0.489035053636098,0
