s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,d0,d1,d2,d3,d4,cluster
0.2476114931753889,0.2603190906569395,0.24563657933703792,0.2632014223857065,0.2197447757612256,0.30175748126887914,0.19222411417639584,0.17060316564283123,0.18121763042747044,0.29374050138551727,0.20859135006461327,0.34773738059342474,0.2740831450468627,0.2029831801081832,0.21095101307900457,0.2602241772542522,0.22930773142123917,0.2674517089246988,0.2711854404994072,0.7007865517604769,0.7291362596363824,0.07313545717691461,0.6868965980507551,0.16902472248951972,0.6721119560386816,0
0.2732429283664106,0.2913410035056293,0.3266322713066288,0.28067769477090476,0.24930615306399406,0.2722359761807937,0.24064743694711127,0.2643496172276837,0.24215154240492706,0.3488955500085146,0.2984709971439341,0.17190164250675566,0.263146919904382,0.2794876980399913,0.1790722190807883,0.3281399993837753,0.2104804309346638,0.2945306407628298,0.33509348492623736,0.7931257332127617,0.35230719748285644,0.5270469401484246,0.9510363919700958,0.2826402145964365,0.18330597411038363,0
0.20268125022326558,0.330318426895703,0.2932735291805548,0.23993539434405692,0.24486329526825373,0.30390718591830757,0.2262678004671938,0.1583777637362519,0.23132435931191572,0.21779320344425585,0.25288257487708315,0.2887172164341098,0.27703376834574917,0.2853577669242843,0.18849313465334352,0.24279496952585522,0.21277330967612745,0.25749844650718834,0.2734343822467911,0.8362932206821583,0.43239277886326644,0.042053438947403654,0.6925283829229039,0.03293840321840702,0.8602045820066568,0
0.3253225170322295,0.2574708428467806,0.21816120654563959,0.235758859023241,0.24704673537347796,0.2516392418923236,0.2868676035978683,0.35112730927203717,0.21527269873376073,0.27504210555868663,0.21752750509352506,0.22879247562805236,0.24381555539161812,0.2013834128805958,0.26071998974477306,0.2296970386500151,0.21832033792781028,0.3355690190168902,0.3334599208912461,0.6515934769013058,0.9656627692587597,0.6045203886996842,0.5694905265360128,0.34265802679809554,0.26965176408679503,0
0.24309416631600844,0.23861458314944792,0.2300409193011112,0.2565652910901784,0.21265068290193806,0.20913372824267126,0.17917321144921033,0.19130274362172134,0.2627209625251762,0.21295182613738217,0.2516225288693659,0.2545360684368344,0.24534839845137627,0.24989258901908548,0.2335730671784937,0.3292808531024507,0.20874404993089482,0.2508567642560891,0.16038414623718555,0.8288588909818818,0.26372396881257876,0.8999170115036608,0.8552865521757375,0.4145847863612544,0.05025969081879622,0
0.2901066497399889,0.23276820159739137,0.2886860212122062,0.2768205612042762,0.30347945364963436,0.14658716290481905,0.16119271364329912,0.24047993610086255,0.16585033211710415,0.2694150777711991,0.2409618540697946,0.2672465676281569,0.2565466229559398,0.27130768433816393,0.29617462709375025,0.25460834182342557,0.2804044222690674,0.2601907214997758,0.33301355833384794,0.7558753879217038,0.9659013068201439,0.801374255307092,0.9048544507660792,0.8393186021036498,0.23770563655513555,0
0.3134116607877912,0.27737103152546694,0.3124459187765518,0.2552979990431355,0.3151849667858136,0.2705737586005553,0.26931196488092396,0.40614214261611253,0.2782182583809039,0.2962256946886596,0.21134537511615734,0.22996951245590974,0.21462138288514765,0.1813294857970562,0.2052764849901379,0.25890241869647324,0.33073137236392863,0.19866464344003523,0.282403813224328,0.7182958080325476,0.3439175737098876,0.4063132607951564,0.796954204522198,0.7216782101385117,0.42087016542708666,0
0.2432493263907474,0.21874316922361253,0.2770384712562833,0.32643366618537084,0.22367467676609395,0.2790576948504489,0.24715600229510998,0.21801121166378024,0.1775466363832269,0.3124371964176469,0.3128096982215523,0.25981509010445136,0.2682569476706612,0.32028433070321927,0.30611634816653865,0.22611729316679258,0.21598740655245727,0.15099866027390302,0.3337751856365639,0.7494403709088862,0.05677440084537633,0.6744733753147555,0.47382190972056426,0.09202141863738933,0.37450906429759945,0
0.21230097473165355,0.20296293961073963,0.2466874872379834,0.26990176695438867,0.28741755506244226,0.2197177531310217,0.29719223598627664,0.3006220484394886,0.350650757599152,0.26406265133017154,0.34855266647200556,0.27102614465632013,0.32649862061258833,0.27792741148214406,0.2065853567753217,0.28750626009374325,0.265322256736807,0.22851159579785923,0.18020372281548636,0.7488008032827583,0.058006185252987064,0.7746843475667008,0.8057227372647721,0.1494925766014844,0.06126703037615511,0
0.29768335165148097,0.26915538756709656,0.1383841823173497,0.16534914711239396,0.264485811250849,0.24053492363967788,0.24630318688960692,0.21740898953772578,0.2527687151164723,0.16935103076675456,0.3737040348015581,0.19834337005125285,0.22891749882163018,0.30560762345454173,0.2288549555332931,0.26256662158239863,0.2599386199065994,0.19674621940900405,0.30674551200457956,0.7097727212499448,0.316683966813626,0.9665254329740535,0.5262528861321301,0.8421236673595777,0.22532239991743275,0
