s0,s1,s2,d0,d1,d2,cluster
0.634167922610463,0.24984277012734377,0.19516980145208987,0.7278706043683176,0.8121465399770841,0.752105174284669,0
0.5095485436022911,0.16441423604822092,0.13368006572219981,0.45354268925331576,0.75946401548695,0.2874725498371584,0
0.5705466848606604,0.2461726578931263,0.25382207100904963,0.385030447177824,0.6019351811830399,0.5238013987700287,0
0.615261902723066,0.3827496681073046,0.23122466897963712,0.48787189153153954,0.43765333763242975,0.9746156918574862,0
0.7636395460941399,0.11210091869703151,0.18527845391519598,0.7949887970641473,0.1758439305419489,0.8317293014435021,0
0.8993324772368132,0.4072681550710632,0.20650991644304498,0.8899622462998955,0.00040910164732665955,0.988195098860524,0
0.8770836409472601,0.1397913384072439,0.38628604227099284,0.009810459196167076,0.8334092604225675,0.5748991099434377,0
0.7746510049860207,0.16894957381246412,0.2982573397451283,0.17276528937020952,0.4001254627819434,0.3503741340837462,0
0.8147158807781905,0.2267295067997766,0.2668702984805527,0.34980069933233315,0.43443126137822996,0.9069610275853006,0
0.5547485340491283,0.21834736462127022,0.31920242481786226,0.6309186004147475,0.06587143855983835,0.21162475660518942,0
0.7065108428580341,0.32388782924371295,0.37202556530167313,0.42265229096320633,0.579359183468333,0.4334857466384928,0
0.6828742269094303,0.30781664206441206,0.34197338557481544,0.912991579797163,0.15786917832345915,0.5508409593600914,0
0.7114624572229536,0.10409231223249041,0.3275548943417136,0.4971508971428339,0.6485711812180412,0.7363689464207323,0
0.7077722844076583,0.26435926491520595,0.28435575118905204,0.6151414652198048,0.8421167910606803,0.22458038572217964,0
0.795104167409178,0.2238502294496413,0.3777027092077594,0.6553931690074121,0.1279527769635228,0.7106977479245181,0
0.8306126087186229,0.3844705129696646,0.2586316327320288,0.5687087196259062,0.44621412055798637,0.046321354889343413,0
0.6484696519206274,0.27450623888520614,0.10144316267381318,0.5260446594271009,0.4207387397049004,0.8413908410465936,0
0.8233566450979414,0.2853528994076316,0.14036165985148485,0.3206460762605109,0.0034685406803520724,0.4351468065254568,0
0.7271911202030507,0.05555940558784969,0.3402183090193449,0.11824139726512961,0.3074183309351467,0.9758359586399262,0
0.7035309750289308,0.11909275043896489,0.25111496714931353,0.5027226638588191,0.40097307663972015,0.45389325028771754,0
0.5760016814065863,0.32481010396955795,0.37114370755036974,0.800471881313828,0.8809017679174392,0.6916699403556058,0
0.8550226045076329,0.04546234614201436,0.31911252818816765,0.08091408831905,0.5596790650797986,0.40508167082562585,0
0.7605041855620526,0.23317869173048947,0.17206196315937117,0.07514108352251236,0.13715189958827978,0.9336899571052657,0
0.8768784347086891,0.30176494550217986,0.4294416535133113,0.5970740930826146,0.9658869449207863,0.2899662729634285,0
0.7550270765279125,0.45950625789490596,0.2997693210468057,0.768182973910615,0.8414198483937989,0.10463882105096911,0
0.7524308816576913,0.2588913014528456,0.31909697450071917,0.42650039879845614,0.9534741403438854,0.9020416809462966,0
0.6581502964436948,0.3440130351599369,0.16953479599891602,0.10622587518481297,0.27764876295671004,0.5425481011073312,0
0.6098008608154188,0.429896287234153,0.2715193147361781,0.3583317010480299,0.3768649003787691,0.15042698459926296,0
0.7583729746237609,0.2973292111972122,-0.03593679464905053,0.15301689995697587,0.6399201602018617,0.5285442586112222,0
0.8010559898909624,0.03003598273047081,0.3285405969585279,0.07166858500530504,0.40560422302086263,0.6714484332199209,0
0.8540509615096341,0.29423653268143,0.2741622243059629,0.612494179918878,0.3240983974690058,0.39345495458252644,0
0.7792382867183348,0.35739166058728095,0.4640521065903299,0.9209945348067419,0.8910168148110494,0.13071436287910088,0
0.718140296889922,0.28281509024957585,0.3463021734585149,0.41855085005463677,0.18728915980511462,0.15148168474406054,0
