s0,s1,s2,s3,s4,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,cluster
0.21526694519480755,0.8008431866438633,1.037957860270033,0.5863145230526446,0.37698327200224524,0.9135230495229546,0.20838166999706642,0.09747269154604687,0.37508046098816505,0.5016782263075589,0.509476207961472,0.35524673270192086,0.4867336431922701,0.010800268550748449,0.8481281813493489,0.5792295266312304,0.32026396524821366,0.7949033920665216,0.15838704831470596,0.5269279739933536,0.28961560335314884,0.8633793159343084,0.6846249526927094,0.2311366193077523,0.17767721740116915,0
0.23049521214643406,0.720677512748891,0.8053955458120321,0.6816340800817278,0.1857809881593674,0.6163360032268886,0.2557298923517419,0.8807530868682946,0.38801694633233563,0.3701722003831448,0.9826793869429742,0.11413461491858734,0.14627882726393437,0.3582985804896618,0.42999566044717685,0.6916744780753891,0.6054472515211353,0.1722291463117751,0.10393344584066111,0.18392513225412688,0.20395784694475416,0.8457215310235873,0.5949781014575346,0.4745114404841779,0.6810748905483986,0
0.2842061242585626,0.7088367158355616,0.8843475287016874,0.7308043238905597,0.2878922584647887,0.9135473389921119,0.9033573977537672,0.7023679844882906,0.3170089478609942,0.3537596177288854,0.45703123073448704,0.3700099696453497,0.801451230894469,0.45160227531436936,0.7229376311866208,0.8024323993548486,0.20395705159217126,0.8232347942963,0.03454834619712577,0.6775660499798069,0.09103703558524467,0.3563314505965477,0.4487690746467975,0.8636300644078829,0.5064819075545274,0
0.21798305633539788,0.6584992531618518,0.6271258703914487,0.8177259339713486,0.237532525930955,0.5273696400455183,0.9459724294413319,0.42787299722377026,0.4014806364075316,0.5761143330513494,0.1485596380439207,0.5221596579652469,0.6597439114654221,0.9575534060031974,0.575276320177095,0.48771531966114157,0.31518070494566464,0.9871806486277643,0.3206780187035235,0.8106556907067988,0.16582250606668825,0.7285495546501414,0.20967538614001335,0.8353775719180511,0.7583161126311688,0
0.2864305350946884,0.715149885622345,0.7694221892843549,0.7883352283197954,0.37666800264488687,0.2722308812390809,0.48686565787427005,0.32388401413547063,0.5168222561477591,0.9376630154605671,0.4675115835759849,0.4556673166998083,0.23572532947854985,0.5615059588616463,0.9865993034787262,0.08686300344246178,0.6602252975170296,0.19486375821060964,0.21493999533671948,0.029173321802516305,0.5791152080597471,0.7001252312673303,0.33366052933217427,0.6415626795285009,0.24290998537869724,0
0.21420868627244943,0.703949479319369,0.8015125441487676,0.69718947332444,0.25776554643736455,0.9203395352130861,0.6561344622084503,0.6680480799180278,0.11717483253971073,0.0916107574363878,0.05318076041465947,0.35110117711785027,0.8976181318550979,0.8510934730686684,0.7418589988404544,0.7768020044098026,0.252113196400092,0.6317235256367594,0.21750885322256497,0.4235448895232644,0.33046286955842896,0.1282185684252558,0.49619155316413543,0.16724348971003933,0.916890397927797,0
0.23144091871916875,0.6823679409468271,0.7387494757899833,0.6632387562497861,0.20605916465477944,0.838210188104597,0.31192676513608963,0.8956702586191301,0.564077227982829,0.8078297110008369,0.13539066617710593,0.2710479801014418,0.4572035294082316,0.6942770411213144,0.9276587495555765,0.5582376749555842,0.6278277445282594,0.7794574142917832,0.7442710756975226,0.17881777930446063,0.43834716086733916,0.30343764857642097,0.42760221614787075,0.5823489424250435,0.474762286539949,0
0.2789660112184757,0.6096292530882759,0.7819189071320817,0.5841672978341215,0.2576948092337404,0.01107071904523238,0.4443524577311183,0.8199551369766569,0.9904139332711954,0.8042445817368087,0.9369956497253136,0.15856148953635052,0.2359389959691336,0.32602742743086577,0.6225018803722852,0.399345711168002,0.5626248542561827,0.09815106919191086,0.7235161470912729,0.25428803191305294,0.5437835631389685,0.3367830491208256,0.1317953517480499,0.024859502888433083,0.9276069212054773,0
0.29288169744692716,0.7830850637054196,0.7821986665838285,0.7790510555202569,0.22251113226974684,0.01361607883840188,0.5415900454237775,0.48343138531834284,0.3180550064044546,0.07750620622915105,0.8818197810826635,0.8765980050153446,0.9159938920658474,0.406888754180323,0.9103949696231775,0.2317408901349023,0.18523763094215373,0.0038943184847713974,0.1327774713534201,0.7639895086150276,0.22142007797056373,0.6199321325345418,0.5439447698756439,0.77255634668221,0.6649642279694324,0
0.27262091101869385,0.7659651249936629,0.6327358240963511,0.747464218418421,0.20680206639345652,0.9222653337988852,0.2793412149378607,0.24475432639597394,0.7851592396776486,0.837424460533704,0.13517670112856195,0.5070969548155453,0.11062979924720606,0.015844466946071334,0.07701092593703707,0.5823337097451509,0.9254912263567202,0.26346532332138584,0.6327125152223639,0.13879972001488194,0.7870501373218746,0.2433021011541765,0.9575383590342472,0.21214876106830027,0.5409882400469782,0
