s0,s1,d0,d1,d2,d3,d4,d5,d6,d7,cluster
0.2704626727010807,0.6679440067413202,0.7813591936566978,0.21331026562267053,0.7843967852561289,0.9520641508953244,0.27683667084976393,0.9786188240041663,0.07957990449262653,0.5999721108667766,0
0.20831787635894627,0.6460714670481,0.9953211983260871,0.8292329538615452,0.39735098717700545,0.43219962551517555,0.09613427978077926,0.5460420236547981,0.8914381808385106,0.5562437510895295,0
0.34839816099726983,0.7977363834329387,0.33477712532528103,0.31135434432944564,0.04333563139992758,0.3382219416778852,0.8506769711467015,0.12441968887572574,0.8216950413251484,0.7904068589047731,0
0.2691411870418196,0.7477766402291429,0.17590243341968703,0.7775964861575939,0.6323085054048123,0.03674434593927878,0.1429449448454858,0.025959894479507084,0.5865755733789597,0.05386680063476845,0
0.3508954240256337,0.6510116588526385,0.8533535475523177,0.4995253005767084,0.6409372290909505,0.6484302139294681,0.7642786842988777,0.9798780498290639,0.10975007205498699,0.28982904817358146,0
0.22972237509051135,0.5455565044311809,0.42335644902686576,0.8348157279281884,0.047401530434256656,0.11190354864275276,0.5136769753568157,0.6629297378794907,0.11025365528312703,0.31039455867743015,0
0.19381364151053157,0.771962725385242,0.8563928651719466,0.5934525256830423,0.9903098979784006,0.04421935167079827,0.735281171842146,0.13178595935376325,0.1708258826407827,0.5549808591230682,0
0.198083300127747,0.7299564116620617,0.11736426817026635,0.29588709679809233,0.008654018500597105,0.18166096772984097,0.32003945451576254,0.34847477310073194,0.389961465867107,0.733965994530614,0
0.25162809406526426,0.8049831425229979,0.0925767298861837,0.7209290047644307,0.4857469644659833,0.3085580685250824,0.7966794753275559,0.28016234866932155,0.424252126863619,0.14655181439185772,0
0.11295016001634012,0.8697314621647798,0.47295745839650893,0.5269647387076776,0.14620848017373855,0.6781317400809743,0.6910888444318602,0.38533626598540194,0.6762935789020146,0.9397315436409988,0
0.3133907248697817,0.6271409790305842,0.7548707108618514,0.000983468999235626,0.6164680970024896,0.26293681411969405,0.9483128678351505,0.6979153676267471,0.520791278448692,0.18552174271090127,0
0.20741748989026637,0.5767446687268373,0.046210664624919295,0.09443366654218976,0.5219279644908468,0.01864472932771688,0.9611785988606125,0.9626487350082497,0.574841898737109,0.7152419824815143,0
0.30665515068130755,0.727818495081981,0.09672405793079475,0.6501569406396668,0.42647494200633096,0.40266554867532023,0.08649493442658829,0.35474633560826707,0.22089941202808772,0.6267284836505311,0
0.2268450984136504,0.9211842152391256,0.7156012974946687,0.5210318715786626,0.5330075027611766,0.065091874017563,0.5928403659044658,0.7880257213793513,0.6899794184323503,0.2523077477659801,0
0.4263848969527916,0.7554466196259108,0.021361902352464823,0.49911871511648265,0.6607333056046161,0.9061577684621943,0.864010390948988,0.8350087256074225,0.8248024971181391,0.4579416533963342,0
0.2503318980525803,0.7836344787667487,0.7295868226999102,0.720514360012306,0.024618995066678417,0.9336960996983782,0.704824470760503,0.43924412366461507,0.5095133035613673,0.2442090312865295,0
0.12715462753603207,0.7972865996514875,0.4808303028058931,0.3072047090131792,0.7984877576416378,0.286282271979461,0.9833377499068137,0.9959959439534716,0.8965912700595245,0.9641865802718154,0
