s0,s1,s2,s3,s4,s5,d0,d1,d2,d3,d4,d5,cluster
0.23323268841438172,0.7081206364270693,0.2649248186121351,0.28602219879009705,0.8057414067442312,0.27241472423513835,0.8599801209962815,0.9579858953713307,0.13152777848769104,0.3736815536551047,0.13443442895966784,0.42515476707672195,0
0.14636887505811308,0.7732437295410507,0.27398392040762987,0.2940435135721903,0.6487329096122889,0.23022985285129205,0.15885586010361508,0.18745657850081887,0.28227078981444753,0.35576217239758845,0.6933685573000231,0.8116060806866483,0
0.2628041494994622,0.8246406799735693,0.29829245928814735,0.27780577222140557,0.7461294841980055,0.1383702021338984,0.6478635452584245,0.5883525318261378,0.5215804002132741,0.919823265347084,0.15669902083949305,0.8765270367820374,0
0.2466138734113968,0.7140498027732841,0.2176581314384032,0.19627775610068268,0.7038826297383705,0.25147381079353825,0.5276476105001232,0.032069927620794414,0.29516257896873266,0.3244217429213161,0.518327170746868,0.6450552257005518,0
0.29390867971450946,0.7635271996013833,0.26599717467322914,0.303645127581835,0.7653030491842305,0.26801675761013216,0.07080213324257212,0.8471067255990784,0.6630859174551721,0.3140309031438777,0.25842464562261047,0.65218532382732,0
0.23315761310385877,0.7345834445698032,0.2431068719202272,0.2429349271276552,0.6845060283844158,0.27303044242905106,0.13687584342883474,0.8366296920018157,0.3170586889584822,0.771920001474601,0.2391729269116306,0.8118369383131955,0
0.2822664412517302,0.7120708769852427,0.20948136047587254,0.17906316793978988,0.7261199806627419,0.3021693609576773,0.1751881989264572,0.5036138737303858,0.5918758392912701,0.535912104182374,0.65667876700694,0.6264807002502778,0
0.2354031254815101,0.7215263062733358,0.2603913166997586,0.29345322088096604,0.74091474111751,0.25558452475790844,0.1703728703432782,0.6661755606380184,0.46212165235373015,0.12148719179139966,0.2116267454733114,0.30019420574447575,0
0.3003138126685109,0.7694269109017713,0.3231741972386665,0.24445387457530235,0.7474694306701531,0.25886148136142606,0.276559527416552,0.829587966415378,0.23929854066209177,0.09533207742375549,0.7962564055465636,0.9903161667390683,0
0.29073741816651555,0.7864244411791915,0.18510791912973376,0.2352666275614172,0.7101775930671843,0.2637179219029685,0.9941907864957409,0.35475722853914093,0.22195575211558238,0.7866393873557717,0.7707069106248791,0.05227154781425858,0
0.2262171015813499,0.696618957999975,0.15508620615044771,0.2221229395570275,0.7803585240034274,0.1945934325765465,0.902199792579737,0.9826746781614111,0.69861251151985,0.14516978480443177,0.32570524985178206,0.38212699846902076,0
0.34848921174483716,0.7436879712055477,0.18277991559708934,0.27021182430524177,0.8610215047438632,0.21648267994230053,0.7787819755660801,0.4051646511857053,0.4502765189473904,0.7935072531794444,0.78189362576339,0.8900083164749342,0
0.1694549292912989,0.780269752730071,0.23801192714778271,0.24760978702806075,0.7509628592110694,0.21663967074750812,0.41400555127060723,0.5323634707008017,0.5722703632391939,0.4877962298622718,0.776084610459512,0.5361872571450551,0
0.22223348334377782,0.7910793659134197,0.1436342504031034,0.2661159069202315,0.7921385523243025,0.34171920101301506,0.03216527883386899,0.03915556981445356,0.48705908473845183,0.6089887493669721,0.8563943600308095,0.4956757367976037,0
